P_name,P_type,P_rating,location
Gandhi Ashram,Historic Sites,4.5,Ahmedabad
Sabarmati Riverfront,Piers Boardwalks,4.5,Ahmedabad
Adalaj Stepwell,Architectural Buildings,4.5,Ahmedabad
Kankaria Lake,Bodies of Water,4.5,Ahmedabad
Hathee Singh Jain Temple,Religious Sites,4.5,Ahmedabad
Gujarat Science City,Science Museums,4.0,Ahmedabad
Ahmedabad One Mall,Shopping Malls,4.5,Ahmedabad
Auto World Vintage Car Museum,Speciality Museums,4.5,Ahmedabad
Sidi Saiyyed Mosque,Historic Sites,4.0,Ahmedabad
ISKCON Temple,Religious Sites,4.5,Ahmedabad
Dada Bhagwan Temple,Religious Sites,4.5,Ahmedabad
Manek Chowk,,4.0,Ahmedabad
Shankaracharya Hill,,4.5,Srinagar
Indira Gandhi Tulip Garden,Gardens,4.5,Srinagar
Dal Lake,Bodies of Water,4.5,Srinagar
Sonamarg,Geologic Formations,4.5,Srinagar
Nigeen Lake,Bodies of Water,4.5,Srinagar
Doodhpathri,Valleys,5.0,Srinagar
Nishat Garden,Gardens,4.0,Srinagar
Sinthan Top,,4.5,Srinagar
Betab Valley,Nature Wildlife Areas,4.5,Srinagar
Yousmarg,Scenic Drives,4.5,Srinagar
Hazratbal,Religious Sites,4.0,Srinagar
Pari Mahal,Ancient Ruins,4.0,Srinagar
Shree Jagannath Temple,Religious Sites,4.5,Puri
Puri Beach,Beaches,4.0,Puri
Raghurajpur Artist Village,Neighbourhoods,4.5,Puri
Konark Beach,Beaches,4.5,Puri
Wonder World Water Park,Water Parks,5.0,Puri
Chilika Lake,Bodies of Water,4.0,Puri
Swargadwar Sea Beach Puri Odisha,Beaches,4.0,Puri
Vimala Temple,Religious Sites,4.5,Puri
Ratha Yatra,Cultural Events,5.0,Puri
Chilika Wildlife Sanctuary,Nature Wildlife Areas,4.0,Puri
Gundicha Temple,Religious Sites,3.5,Puri
Sakshigopal Temple,Religious Sites,3.5,Puri
Dainkund Peak,Mountains,4.5,Dalhousie
Chamera Lake,Bodies of Water,4.0,Dalhousie
Sach Pass,,4.5,Dalhousie
Ganji Pahari,Hiking Trails,4.5,Dalhousie
St Johns Church,Churches Cathedrals,4.0,Dalhousie
Gandhi Chowk Shopping Plaza,Shopping Malls,3.5,Dalhousie
Beejis Park,Parks,4.5,Dalhousie
St Patricks Church,Churches Cathedrals,4.0,Dalhousie
Garam Sadak,Hiking Trails,4.0,Dalhousie
Moti Tibba,Mountains,4.0,Dalhousie
St Francis Church,Churches Cathedrals,4.0,Dalhousie
Rang Mahal,Architectural Buildings,4.0,Dalhousie
