H_name,H_price,H_rating,location,R_name,R_rating
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Sugar n Thyme,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Desi Cafe Agra,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Pind Balluchi,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Shankara Vegis Restaurant,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,The Nawaabs,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Taj Bano,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Good Vibes Cafe,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Peshawri,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Tease Me,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Cafe G,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,DaawateNawab,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Treat Restaurant,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Taj Terrace,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Joneys Place,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,The Salt Cafe Kitchen Bar,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,The Global Savour Restaurant,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Bambino Cafe And Restaurant,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,DDelicia,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Login Restaurant Roof Top Cafe,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Bamboo Cafe,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Bob Marley Cafe Restaurant,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Sheroes Hangout Cafe,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,MoMo Cafe,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Masala Bistro,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Golden Street Restaurant,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,In dish,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Cest Chine,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Dostea Cafe,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Yes Restaurant,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Green Park Restaurant,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Bon Barbecue Restaurant,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Sugar n Thyme,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Desi Cafe Agra,5.0
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Pind Balluchi,4.5
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra,Shankara Vegis Restaurant,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,The Nawaabs,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Taj Bano,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,Good Vibes Cafe,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Peshawri,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,Tease Me,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Cafe G,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,DaawateNawab,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Treat Restaurant,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Taj Terrace,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Joneys Place,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,The Salt Cafe Kitchen Bar,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,The Global Savour Restaurant,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Bambino Cafe And Restaurant,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,DDelicia,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Login Restaurant Roof Top Cafe,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Bamboo Cafe,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,Bob Marley Cafe Restaurant,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,Sheroes Hangout Cafe,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,MoMo Cafe,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,Masala Bistro,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Golden Street Restaurant,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,In dish,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Cest Chine,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,Dostea Cafe,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Yes Restaurant,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Green Park Restaurant,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,Bon Barbecue Restaurant,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,Sugar n Thyme,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Desi Cafe Agra,5.0
Howard Plaza The Fern Agra,3897,4.0,Agra,Pind Balluchi,4.5
Howard Plaza The Fern Agra,3897,4.0,Agra,Shankara Vegis Restaurant,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,The Nawaabs,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Taj Bano,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Good Vibes Cafe,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Peshawri,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Tease Me,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Cafe G,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,DaawateNawab,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Treat Restaurant,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Taj Terrace,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Joneys Place,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,The Salt Cafe Kitchen Bar,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,The Global Savour Restaurant,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Bambino Cafe And Restaurant,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,DDelicia,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Login Restaurant Roof Top Cafe,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Bamboo Cafe,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Bob Marley Cafe Restaurant,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Sheroes Hangout Cafe,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,MoMo Cafe,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Masala Bistro,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Golden Street Restaurant,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,In dish,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Cest Chine,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Dostea Cafe,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Yes Restaurant,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Green Park Restaurant,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Bon Barbecue Restaurant,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Sugar n Thyme,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Desi Cafe Agra,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Pind Balluchi,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Shankara Vegis Restaurant,4.5
Trident Agra,11210,4.5,Agra,The Nawaabs,5.0
Trident Agra,11210,4.5,Agra,Taj Bano,4.5
Trident Agra,11210,4.5,Agra,Good Vibes Cafe,5.0
Trident Agra,11210,4.5,Agra,Peshawri,4.5
Trident Agra,11210,4.5,Agra,Tease Me,5.0
Trident Agra,11210,4.5,Agra,Cafe G,5.0
Trident Agra,11210,4.5,Agra,DaawateNawab,5.0
Trident Agra,11210,4.5,Agra,Treat Restaurant,5.0
Trident Agra,11210,4.5,Agra,Taj Terrace,5.0
Trident Agra,11210,4.5,Agra,Joneys Place,4.5
Trident Agra,11210,4.5,Agra,The Salt Cafe Kitchen Bar,5.0
Trident Agra,11210,4.5,Agra,The Global Savour Restaurant,5.0
Trident Agra,11210,4.5,Agra,Bambino Cafe And Restaurant,5.0
Trident Agra,11210,4.5,Agra,DDelicia,5.0
Trident Agra,11210,4.5,Agra,Login Restaurant Roof Top Cafe,5.0
Trident Agra,11210,4.5,Agra,Bamboo Cafe,4.5
Trident Agra,11210,4.5,Agra,Bob Marley Cafe Restaurant,4.5
Trident Agra,11210,4.5,Agra,Sheroes Hangout Cafe,4.5
Trident Agra,11210,4.5,Agra,MoMo Cafe,4.5
Trident Agra,11210,4.5,Agra,Masala Bistro,5.0
Trident Agra,11210,4.5,Agra,Golden Street Restaurant,4.5
Trident Agra,11210,4.5,Agra,In dish,5.0
Trident Agra,11210,4.5,Agra,Cest Chine,4.5
Trident Agra,11210,4.5,Agra,Dostea Cafe,5.0
Trident Agra,11210,4.5,Agra,Yes Restaurant,5.0
Trident Agra,11210,4.5,Agra,Green Park Restaurant,4.5
Trident Agra,11210,4.5,Agra,Bon Barbecue Restaurant,4.5
Trident Agra,11210,4.5,Agra,Sugar n Thyme,5.0
Trident Agra,11210,4.5,Agra,Desi Cafe Agra,5.0
Trident Agra,11210,4.5,Agra,Pind Balluchi,4.5
Trident Agra,11210,4.5,Agra,Shankara Vegis Restaurant,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,The Nawaabs,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Taj Bano,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,Good Vibes Cafe,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Peshawri,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,Tease Me,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Cafe G,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,DaawateNawab,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Treat Restaurant,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Taj Terrace,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Joneys Place,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,The Salt Cafe Kitchen Bar,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,The Global Savour Restaurant,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Bambino Cafe And Restaurant,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,DDelicia,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Login Restaurant Roof Top Cafe,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Bamboo Cafe,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,Bob Marley Cafe Restaurant,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,Sheroes Hangout Cafe,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,MoMo Cafe,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,Masala Bistro,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Golden Street Restaurant,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,In dish,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Cest Chine,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,Dostea Cafe,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Yes Restaurant,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Green Park Restaurant,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,Bon Barbecue Restaurant,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,Sugar n Thyme,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Desi Cafe Agra,5.0
Hotel Clarks Shiraz,5913,4.0,Agra,Pind Balluchi,4.5
Hotel Clarks Shiraz,5913,4.0,Agra,Shankara Vegis Restaurant,4.5
Hotel Taj Resorts,5319,4.0,Agra,The Nawaabs,5.0
Hotel Taj Resorts,5319,4.0,Agra,Taj Bano,4.5
Hotel Taj Resorts,5319,4.0,Agra,Good Vibes Cafe,5.0
Hotel Taj Resorts,5319,4.0,Agra,Peshawri,4.5
Hotel Taj Resorts,5319,4.0,Agra,Tease Me,5.0
Hotel Taj Resorts,5319,4.0,Agra,Cafe G,5.0
Hotel Taj Resorts,5319,4.0,Agra,DaawateNawab,5.0
Hotel Taj Resorts,5319,4.0,Agra,Treat Restaurant,5.0
Hotel Taj Resorts,5319,4.0,Agra,Taj Terrace,5.0
Hotel Taj Resorts,5319,4.0,Agra,Joneys Place,4.5
Hotel Taj Resorts,5319,4.0,Agra,The Salt Cafe Kitchen Bar,5.0
Hotel Taj Resorts,5319,4.0,Agra,The Global Savour Restaurant,5.0
Hotel Taj Resorts,5319,4.0,Agra,Bambino Cafe And Restaurant,5.0
Hotel Taj Resorts,5319,4.0,Agra,DDelicia,5.0
Hotel Taj Resorts,5319,4.0,Agra,Login Restaurant Roof Top Cafe,5.0
Hotel Taj Resorts,5319,4.0,Agra,Bamboo Cafe,4.5
Hotel Taj Resorts,5319,4.0,Agra,Bob Marley Cafe Restaurant,4.5
Hotel Taj Resorts,5319,4.0,Agra,Sheroes Hangout Cafe,4.5
Hotel Taj Resorts,5319,4.0,Agra,MoMo Cafe,4.5
Hotel Taj Resorts,5319,4.0,Agra,Masala Bistro,5.0
Hotel Taj Resorts,5319,4.0,Agra,Golden Street Restaurant,4.5
Hotel Taj Resorts,5319,4.0,Agra,In dish,5.0
Hotel Taj Resorts,5319,4.0,Agra,Cest Chine,4.5
Hotel Taj Resorts,5319,4.0,Agra,Dostea Cafe,5.0
Hotel Taj Resorts,5319,4.0,Agra,Yes Restaurant,5.0
Hotel Taj Resorts,5319,4.0,Agra,Green Park Restaurant,4.5
Hotel Taj Resorts,5319,4.0,Agra,Bon Barbecue Restaurant,4.5
Hotel Taj Resorts,5319,4.0,Agra,Sugar n Thyme,5.0
Hotel Taj Resorts,5319,4.0,Agra,Desi Cafe Agra,5.0
Hotel Taj Resorts,5319,4.0,Agra,Pind Balluchi,4.5
Hotel Taj Resorts,5319,4.0,Agra,Shankara Vegis Restaurant,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,The Nawaabs,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Taj Bano,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,Good Vibes Cafe,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Peshawri,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,Tease Me,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Cafe G,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,DaawateNawab,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Treat Restaurant,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Taj Terrace,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Joneys Place,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,The Salt Cafe Kitchen Bar,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,The Global Savour Restaurant,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Bambino Cafe And Restaurant,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,DDelicia,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Login Restaurant Roof Top Cafe,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Bamboo Cafe,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,Bob Marley Cafe Restaurant,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,Sheroes Hangout Cafe,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,MoMo Cafe,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,Masala Bistro,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Golden Street Restaurant,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,In dish,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Cest Chine,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,Dostea Cafe,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Yes Restaurant,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Green Park Restaurant,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,Bon Barbecue Restaurant,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,Sugar n Thyme,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Desi Cafe Agra,5.0
Hotel Clarks Shiraz,4457,4.0,Agra,Pind Balluchi,4.5
Hotel Clarks Shiraz,4457,4.0,Agra,Shankara Vegis Restaurant,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,The Nawaabs,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Taj Bano,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Good Vibes Cafe,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Peshawri,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Tease Me,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Cafe G,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,DaawateNawab,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Treat Restaurant,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Taj Terrace,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Joneys Place,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,The Salt Cafe Kitchen Bar,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,The Global Savour Restaurant,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Bambino Cafe And Restaurant,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,DDelicia,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Login Restaurant Roof Top Cafe,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Bamboo Cafe,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Bob Marley Cafe Restaurant,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Sheroes Hangout Cafe,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,MoMo Cafe,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Masala Bistro,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Golden Street Restaurant,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,In dish,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Cest Chine,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Dostea Cafe,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Yes Restaurant,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Green Park Restaurant,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Bon Barbecue Restaurant,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Sugar n Thyme,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Desi Cafe Agra,5.0
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Pind Balluchi,4.5
Ramada Plaza by Wyndham Agra,8114,4.5,Agra,Shankara Vegis Restaurant,4.5
The Grand Imperial,8968,4.0,Agra,The Nawaabs,5.0
The Grand Imperial,8968,4.0,Agra,Taj Bano,4.5
The Grand Imperial,8968,4.0,Agra,Good Vibes Cafe,5.0
The Grand Imperial,8968,4.0,Agra,Peshawri,4.5
The Grand Imperial,8968,4.0,Agra,Tease Me,5.0
The Grand Imperial,8968,4.0,Agra,Cafe G,5.0
The Grand Imperial,8968,4.0,Agra,DaawateNawab,5.0
The Grand Imperial,8968,4.0,Agra,Treat Restaurant,5.0
The Grand Imperial,8968,4.0,Agra,Taj Terrace,5.0
The Grand Imperial,8968,4.0,Agra,Joneys Place,4.5
The Grand Imperial,8968,4.0,Agra,The Salt Cafe Kitchen Bar,5.0
The Grand Imperial,8968,4.0,Agra,The Global Savour Restaurant,5.0
The Grand Imperial,8968,4.0,Agra,Bambino Cafe And Restaurant,5.0
The Grand Imperial,8968,4.0,Agra,DDelicia,5.0
The Grand Imperial,8968,4.0,Agra,Login Restaurant Roof Top Cafe,5.0
The Grand Imperial,8968,4.0,Agra,Bamboo Cafe,4.5
The Grand Imperial,8968,4.0,Agra,Bob Marley Cafe Restaurant,4.5
The Grand Imperial,8968,4.0,Agra,Sheroes Hangout Cafe,4.5
The Grand Imperial,8968,4.0,Agra,MoMo Cafe,4.5
The Grand Imperial,8968,4.0,Agra,Masala Bistro,5.0
The Grand Imperial,8968,4.0,Agra,Golden Street Restaurant,4.5
The Grand Imperial,8968,4.0,Agra,In dish,5.0
The Grand Imperial,8968,4.0,Agra,Cest Chine,4.5
The Grand Imperial,8968,4.0,Agra,Dostea Cafe,5.0
The Grand Imperial,8968,4.0,Agra,Yes Restaurant,5.0
The Grand Imperial,8968,4.0,Agra,Green Park Restaurant,4.5
The Grand Imperial,8968,4.0,Agra,Bon Barbecue Restaurant,4.5
The Grand Imperial,8968,4.0,Agra,Sugar n Thyme,5.0
The Grand Imperial,8968,4.0,Agra,Desi Cafe Agra,5.0
The Grand Imperial,8968,4.0,Agra,Pind Balluchi,4.5
The Grand Imperial,8968,4.0,Agra,Shankara Vegis Restaurant,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,The Nawaabs,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Taj Bano,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Good Vibes Cafe,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Peshawri,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Tease Me,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Cafe G,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,DaawateNawab,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Treat Restaurant,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Taj Terrace,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Joneys Place,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,The Salt Cafe Kitchen Bar,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,The Global Savour Restaurant,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Bambino Cafe And Restaurant,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,DDelicia,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Login Restaurant Roof Top Cafe,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Bamboo Cafe,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Bob Marley Cafe Restaurant,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Sheroes Hangout Cafe,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,MoMo Cafe,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Masala Bistro,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Golden Street Restaurant,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,In dish,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Cest Chine,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Dostea Cafe,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Yes Restaurant,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Green Park Restaurant,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Bon Barbecue Restaurant,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Sugar n Thyme,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Desi Cafe Agra,5.0
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Pind Balluchi,4.5
Tajview AgraIHCL SeleQtions,10030,4.0,Agra,Shankara Vegis Restaurant,4.5
Taj Hotel Convention Centre Agra,12390,4.5,Agra,The Nawaabs,5.0
Taj Hotel Convention Centre Agra,12390,4.5,Agra,Taj Bano,4.5
